category_1,category_2,category_3,category_4,notes,category_id
,,,Labor Relations Specialists,,131075
,,Logisticians,,,131080
,,,Logisticians,,131081
,,Management Analysts,,,131110
,,,Management Analysts,,131111
,,Meeting Convention and Event Planners,,,131120
,,,Meeting Convention and Event Planners,,131121
,,Fundraisers,,,131130
,,,Fundraisers,,131131
,,Compensation Benefits and Job Analysis Specialists,,,131140
,,,Compensation Benefits and Job Analysis Specialists,,131141
,,Training and Development Specialists,,,131150
,,,Training and Development Specialists,,131151
,,Market Research Analysts and Marketing Specialists,,,131160
,,,Market Research Analysts and Marketing Specialists,,131161  
,,Miscellaneous Business Operations Specialists,,,131190
,,,Business Operations Specialists All Other,,131199
,Financial Specialists,,,,132000
,,Accountants and Auditors,,,132010
,,,Accountants and Auditors,,132011
,,Appraisers and Assessors of Real Estate,,,132020
,,,Appraisers and Assessors of Real Estate,,132021
,,Budget Analysts,,,132030
,,,Budget Analysts,,132031
,,Credit Analysts,,,132040
,,,Credit Analysts,,132041
,,Financial Analysts and Advisors,,,132050
,,,Financial Analysts,,132051
,,,Personal Financial Advisors,,132052
,,,Insurance Underwriters,,132053
,,Financial Examiners,,,132060
,,,Financial Examiners,,132061
,,Credit Counselors and Loan Officers,,,132070
,,,Credit Counselors,,132071
,,,Loan Officers,,132072
,,Tax Examiners Collectors and Preparers and Revenue Agents,,,132080
,,,Tax Examiners and Collectors and Revenue Agents,,132081
,,,Tax Preparers,,132082
,,Miscellaneous Financial Specialists,,,132090
,,,Financial Specialists All Other,,132099
Computer and Mathematical Occupations,,,,,150000
,Computer Occupations,,,,151100
,,Computer and Information Research Scientists,,,151110
,,,Computer and Information Research Scientists,,151111
,,Computer and Information Analysts,,,151120
,,,Computer Systems Analysts,,151121
,,,Information Security Analysts,,151122
,,Software Developers and Programmers,,,151130
,,,Computer Programmers,,151131
,,,Software Developers Applications,,151132
,,,Software Developers Systems Software,,151133
,,,Web Developers,,151134
,,Database and Systems Administrators and Network Architects,,,151140
,,,Database Administrators,,151141
,,,Network and Computer Systems Administrators,,151142
,,,Computer Network Architects,,151143
,,Computer Support Specialists,,,151150
,,,Computer User Support Specialists,,151151
,,,Computer Network Support Specialists,,151152
,,Miscellaneous Computer Occupations,,,151190
,,,Computer Occupations All Other,,151199
,Mathematical Science Occupations,,,,152000
,,Actuaries,,,152010
,,,Actuaries,,152011
,,Mathematicians,,,152020
,,,Mathematicians,,152021
,,Operations Research Analysts,,,152030
,,,Operations Research Analysts,,152031
,,Statisticians,,,152040
,,,Statisticians,,152041
,,Miscellaneous Mathematical Science Occupations,,,152090
,,,Mathematical Technicians,,152091
,,,Mathematical Science Occupations All Other,,152099
Architecture and Engineering Occupations,,,,,170000
,Architects Surveyors and Cartographers,,,,171000
,,Architects Except Naval,,,171010
,,,Architects Except Landscape and Naval,,171011
,,,Landscape Architects,,171012
,,Surveyors Cartographers and Photogrammetrists,,,171020
,,,Cartographers and Photogrammetrists,,171021
,,,Surveyors,,171022
,Engineers,,,,172000
,,Aerospace Engineers,,,172010
,,,Aerospace Engineers,,172011
,,Agricultural Engineers,,,172020
,,,Agricultural Engineers,,172021
,,Biomedical Engineers,,,172030
,,,Biomedical Engineers,,172031
,,Chemical Engineers,,,172040
,,,Chemical Engineers,,172041
,,Civil Engineers,,,172050
,,,Civil Engineers,,172051
,,Computer Hardware Engineers,,,172060
,,,Computer Hardware Engineers,,172061
,,Electrical and Electronics Engineers,,,172070
,,,Electrical Engineers,,172071
,,,Electronics Engineers Except Computer,,172072
,,Environmental Engineers,,,172080
,,,Environmental Engineers,,172081
,,Industrial Engineers Including Health and Safety,,,172110
,,,Health and Safety Engineers Except Mining Safety Engineers and Inspectors,,172111
,,,Industrial Engineers,,172112
,,Marine Engineers and Naval Architects,,,172120
,,,Marine Engineers and Naval Architects,,172121
,,Materials Engineers,,,172130
,,,Materials Engineers,,172131
,,Mechanical Engineers,,,172140
,,,Mechanical Engineers,,172141
,,Mining and Geological Engineers Including Mining Safety Engineers,,,172150
,,,Mining and Geological Engineers Including Mining Safety Engineers,,172151
,,Nuclear Engineers,,,172160
,,,Nuclear Engineers,,172161
,,Petroleum Engineers,,,172170
,,,Petroleum Engineers,,172171
,,Miscellaneous Engineers,,,172190
,,,Engineers All Other,,172199
,Drafters Engineering Technicians and Mapping Technicians,,,,173000
,,Drafters,,,173010
,,,Architectural and Civil Drafters,,173011
,,,Electrical and Electronics Drafters,,173012
,,,Mechanical Drafters,,173013
,,,Drafters All Other,,173019
,,Engineering Technicians Except Drafters,,,173020
,,,Aerospace Engineering and Operations Technicians,,173021
,,,Civil Engineering Technicians,,173022
,,,Electrical and Electronics Engineering Technicians,,173023
,,,ElectroMechanical Technicians,,173024
,,,Environmental Engineering Technicians,,173025
,,,Industrial Engineering Technicians,,173026
,,,Mechanical Engineering Technicians,,173027
,,,Engineering Technicians Except Drafters All Other,,173029
,,Surveying and Mapping Technicians,,,173030
,,,Surveying and Mapping Technicians,,173031
Life Physical and Social Science Occupations,,,,,190000
,Life Scientists,,,,191000
,,Agricultural and Food Scientists,,,191010
,,,Animal Scientists,,191011
,,,Food Scientists and Technologists,,191012
,,,Soil and Plant Scientists,,191013
,,Biological Scientists,,,191020
,,,Biochemists and Biophysicists,,191021
,,,Microbiologists,,191022
,,,Zoologists and Wildlife Biologists,,191023
,,,Biological Scientists All Other,,191029
,,Conservation Scientists and Foresters,,,191030
,,,Conservation Scientists,,191031
,,,Foresters,,191032
,,Medical Scientists,,,191040
,,,Epidemiologists,,191041
,,,Medical Scientists Except Epidemiologists,,191042
,,Miscellaneous Life Scientists,,,191090
,,,Life Scientists All Other,,191099
,Physical Scientists,,,,192000
,,Astronomers and Physicists,,,192010
,,,Astronomers,,192011
,,,Physicists,,192012
,,Atmospheric and Space Scientists,,,192020
,,,Atmospheric and Space Scientists,,192021
,,Chemists and Materials Scientists,,,192030
,,,Chemists,,192031
,,,Materials Scientists,,192032
,,Environmental Scientists and Geoscientists,,,192040
,,,Environmental Scientists and Specialists Including Health,,192041
,,,Geoscientists Except Hydrologists and Geographers,,192042
,,,Hydrologists,,192043
,,Miscellaneous Physical Scientists,,,192090
,,,Physical Scientists All Other,,192099
,Social Scientists and Related Workers,,,,193000
,,Economists,,,193010
,,,Economists,,193011
,,Survey Researchers,,,193020
,,,Survey Researchers,,193022
,,Psychologists,,,193030
,,,Clinical Counseling and School Psychologists,,193031
,,,IndustrialOrganizational Psychologists,,193032
,,,Psychologists All Other,,193039
,,Sociologists,,,193040
,,,Sociologists,,193041
,,Urban and Regional Planners,,,193050
,,,Urban and Regional Planners,,193051
,,Miscellaneous Social Scientists and Related Workers,,,193090
,,,Anthropologists and Archeologists,,193091
,,,Geographers,,193092
,,,Historians,,193093
,,,Political Scientists,,193094
,,,Social Scientists and Related Workers All Other,,193099
,Life Physical and Social Science Technicians,,,,194000
,,Agricultural and Food Science Technicians,,,194010
,,,Agricultural and Food Science Technicians,,194011
,,Biological Technicians,,,194020
,,,Biological Technicians,,194021
,,Chemical Technicians,,,194030
,,,Chemical Technicians,,194031
,,Geological and Petroleum Technicians,,,194040
,,,Geological and Petroleum Technicians,,194041
,,Nuclear Technicians,,,194050
,,,Nuclear Technicians,,194051
,,Social Science Research Assistants,,,194060
,,,Social Science Research Assistants,,194061
,,Miscellaneous Life Physical and Social Science Technicians,,,194090
,,,Environmental Science and Protection Technicians Including Health,,194091
,,,Forensic Science Technicians,,194092
,,,Forest and Conservation Technicians,,194093
,,,Life Physical and Social Science Technicians All Other,,194099
Community and Social Service Occupations,,,,,210000
,Counselors Social Workers and Other Community and Social Service Specialists,,,,211000
,,Counselors,,,211010
,,,Substance Abuse and Behavioral Disorder Counselors,,211011
,,,Educational Guidance School and Vocational Counselors,,211012
,,,Marriage and Family Therapists,,211013
,,,Mental Health Counselors,,211014
,,,Rehabilitation Counselors,,211015
,,,Counselors All Other,,211019
,,Social Workers,,,211020
,,,Child Family and School Social Workers,,211021
,,,Healthcare Social Workers,,211022
,,,Mental Health and Substance Abuse Social Workers,,211023
,,,Social Workers All Other,,211029
,,Miscellaneous Community and Social Service Specialists,,,211090
,,,Health Educators ,,211091
,,,Probation Officers and Correctional Treatment Specialists,,211092
,,,Social and Human Service Assistants,,211093
,,,Community Health Workers,,211094
,,,Community and Social Service Specialists All Other,,211099
,Religious Workers,,,,212000
,,Clergy,,,212010
,,,Clergy,,212011
,,Directors Religious Activities and Education,,,212020
,,,Directors Religious Activities and Education,,212021
,,Miscellaneous Religious Workers,,,212090
,,,Religious Workers All Other,,212099
Legal Occupations,,,,,230000
,Lawyers Judges and Related Workers,,,,231000
,,Lawyers and Judicial Law Clerks,,,231010
,,,Lawyers,,231011
,,,Judicial Law Clerks,,231012
,,Judges Magistrates and Other Judicial Workers,,,231020
,,,Administrative Law Judges Adjudicators and Hearing Officers,,231021
,,,Arbitrators Mediators and Conciliators,,231022
,,,Judges Magistrate Judges and Magistrates,,231023
,Legal Support Workers,,,,232000
,,Paralegals and Legal Assistants,,,232010
,,,Paralegals and Legal Assistants,,232011
,,Miscellaneous Legal Support Workers,,,232090
,,,Court Reporters,,232091
,,,Title Examiners Abstractors and Searchers,,232093
,,,Legal Support Workers All Other,,232099
Education Training and Library Occupations,,,,,250000
,Postsecondary Teachers,,,,251000
,,Business Teachers Postsecondary,,,251010
,,,Business Teachers Postsecondary,,251011
,,Math and Computer Teachers Postsecondary,,,251020
,,,Computer Science Teachers Postsecondary,,251021
,,,Mathematical Science Teachers Postsecondary,,251022
,,Engineering and Architecture Teachers Postsecondary,,,251030
,,,Architecture Teachers Postsecondary,,251031
,,,Engineering Teachers Postsecondary,,251032
,,Life Sciences Teachers Postsecondary,,,251040
,,,Agricultural Sciences Teachers Postsecondary,,251041
,,,Biological Science Teachers Postsecondary,,251042
,,,Forestry and Conservation Science Teachers Postsecondary,,251043
,,Physical Sciences Teachers Postsecondary,,,251050
,,,Atmospheric Earth Marine and Space Sciences Teachers Postsecondary,,251051
,,,Chemistry Teachers Postsecondary,,251052
,,,Environmental Science Teachers Postsecondary,,251053
,,,Physics Teachers Postsecondary,,251054
,,Social Sciences Teachers Postsecondary,,,251060
,,,Anthropology and Archeology Teachers Postsecondary,,251061
,,,Area Ethnic and Cultural Studies Teachers Postsecondary,,251062
,,,Economics Teachers Postsecondary,,251063
,,,Geography Teachers Postsecondary,,251064
,,,Political Science Teachers Postsecondary,,251065
,,,Psychology Teachers Postsecondary,,251066
,,,Sociology Teachers Postsecondary,,251067
,,,Social Sciences Teachers Postsecondary All Other,,251069
,,Health Teachers Postsecondary,,,251070
,,,Health Specialties Teachers Postsecondary,,251071
,,,Nursing Instructors and Teachers Postsecondary,,251072
,,Education and Library Science Teachers Postsecondary,,,251080
,,,Education Teachers Postsecondary,,251081
,,,Library Science Teachers Postsecondary,,251082
,,Law Criminal Justice and Social Work Teachers Postsecondary,,,251110
,,,Criminal Justice and Law Enforcement Teachers Postsecondary,,251111
,,,Law Teachers Postsecondary,,251112
,,,Social Work Teachers Postsecondary,,251113
,,Arts Communications and Humanities Teachers Postsecondary,,,251120
,,,Art Drama and Music Teachers Postsecondary,,251121
,,,Communications Teachers Postsecondary,,251122
,,,English Language and Literature Teachers Postsecondary,,251123
,,,Foreign Language and Literature Teachers Postsecondary,,251124
,,,History Teachers Postsecondary,,251125
,,,Philosophy and Religion Teachers Postsecondary,,251126
,,Miscellaneous Postsecondary Teachers,,,251190
,,,Graduate Teaching Assistants,,251191
,,,Home Economics Teachers Postsecondary,,251192
,,,Recreation and Fitness Studies Teachers Postsecondary,,251193
,,,Vocational Education Teachers Postsecondary,,251194
,,,Postsecondary Teachers All Other,,251199
,Preschool Primary Secondary and Special Education School Teachers,,,,252000
,,Preschool and Kindergarten Teachers,,,252010
,,,Preschool Teachers Except Special Education,,252011
,,,Kindergarten Teachers Except Special Education,,252012
,,Elementary and Middle School Teachers,,,252020
,,,Elementary School Teachers Except Special Education,,252021
,,,Middle School Teachers Except Special and Career Technical Education,,252022
,,,Career Technical Education Teachers Middle School,,252023
,,Secondary School Teachers,,,252030
,,,Secondary School Teachers Except Special and Career Technical Education,,252031
,,,Career Technical Education Teachers Secondary School,,252032
,,Special Education Teachers,,,252050
,,,Special Education Teachers Preschool,,252051
,,,Special Education Teachers Kindergarten and Elementary School,,252052
,,,Special Education Teachers Middle School,,252053
,,,Special Education Teachers Secondary School,,252054
,,,Special Education Teachers All Other,,252059
,Other Teachers and Instructors,,,,253000
,,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,,,253010
,,,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,,253011
,,SelfEnrichment Education Teachers,,,253020
,,,SelfEnrichment Education Teachers,,253021
,,Miscellaneous Teachers and Instructors,,,253090
,,,Teachers and Instructors All Other,,253099
,Librarians Curators and Archivists,,,,254000
,,Archivists Curators and Museum Technicians,,,254010
,,,Archivists,,254011
,,,Curators,,254012
,,,Museum Technicians and Conservators,,254013
,,Librarians,,,254020
,,,Librarians,,254021
,,Library Technicians,,,254030
,,,Library Technicians,,254031
,Other Education Training and Library Occupations,,,,259000
,,AudioVisual and Multimedia Collections Specialists,,,259010
,,,AudioVisual and Multimedia Collections Specialists,,259011
,,Farm and Home Management Advisors,,,259020
,,,Farm and Home Management Advisors,,259021
,,Instructional Coordinators,,,259030
,,,Instructional Coordinators,,259031
,,Teacher Assistants,,,259040
,,,Teacher Assistants,,259041
,,Miscellaneous Education Training and Library Workers,,,259090
,,,Education Training and Library Workers All Other,,259099
Arts Design Entertainment Sports and Media Occupations,,,,,270000
,Art and Design Workers,,,,271000
,,Artists and Related Workers,,,271010
,,,Art Directors,,271011
,,,Craft Artists,,271012
,,,Fine Artists Including Painters Sculptors and Illustrators,,271013
,,,Multimedia Artists and Animators,,271014
,,,Artists and Related Workers All Other,,271019
,,Designers,,,271020
,,,Commercial and Industrial Designers,,271021
,,,Fashion Designers,,271022
,,,Floral Designers,,271023
,,,Graphic Designers,,271024
,,,Interior Designers,,271025
,,,Merchandise Displayers and Window Trimmers,,271026
,,,Set and Exhibit Designers,,271027
,,,Designers All Other,,271029
,Entertainers and Performers Sports and Related Workers,,,,272000
,,Actors Producers and Directors,,,272010
,,,Actors,,272011
,,,Producers and Directors,,272012
,,Athletes Coaches Umpires and Related Workers,,,272020
,,,Athletes and Sports Competitors,,272021
,,,Coaches and Scouts,,272022
,,,Umpires Referees and Other Sports Officials,,272023
,,Dancers and Choreographers,,,272030
,,,Dancers,,272031
,,,Choreographers,,272032
,,Musicians Singers and Related Workers,,,272040
,,,Music Directors and Composers,,272041
,,,Musicians and Singers,,272042
,,Miscellaneous Entertainers and Performers Sports and Related Workers,,,272090
,,,Entertainers and Performers Sports and Related Workers All Other,,272099
,Media and Communication Workers,,,,273000
,,Announcers,,,273010
,,,Radio and Television Announcers,,273011
,,,Public Address System and Other Announcers,,273012
,,News Analysts Reporters and Correspondents,,,273020
,,,Broadcast News Analysts,,273021
,,,Reporters and Correspondents,,273022
,,Public Relations Specialists,,,273030
,,,Public Relations Specialists,,273031
,,Writers and Editors,,,273040
,,,Editors,,273041
,,,Technical Writers,,273042
,,,Writers and Authors,,273043
,,Miscellaneous Media and Communication Workers,,,273090
,,,Interpreters and Translators,,273091
,,,Media and Communication Workers All Other,,273099
,Media and Communication Equipment Workers,,,,274000
,,Broadcast and Sound Engineering Technicians and Radio Operators,,,274010
,,,Audio and Video Equipment Technicians,,274011
,,,Broadcast Technicians,,274012
,,,Radio Operators,,274013
,,,Sound Engineering Technicians,,274014
,,Photographers,,,274020
,,,Photographers,,274021
,,Television Video and Motion Picture Camera Operators and Editors,,,274030
,,,Camera Operators Television Video and Motion Picture,,274031
,,,Film and Video Editors,,274032
,,Miscellaneous Media and Communication Equipment Workers,,,274090
,,,Media and Communication Equipment Workers All Other,,274099
Healthcare Practitioners and Technical Occupations,,,,,290000
,Health Diagnosing and Treating Practitioners,,,,291000
,,Chiropractors,,,291010
,,,Chiropractors,,291011
,,Dentists,,,291020
,,,Dentists General,,291021
,,,Oral and Maxillofacial Surgeons,,291022
,,,Orthodontists,,291023
,,,Prosthodontists,,291024
,,,Dentists All Other Specialists,,291029
,,Dietitians and Nutritionists,,,291030
,,,Dietitians and Nutritionists,,291031
,,Optometrists,,,291040
,,,Optometrists,,291041
,,Pharmacists,,,291050
,,,Pharmacists,,291051
,,Physicians and Surgeons,,,291060
,,,Anesthesiologists,,291061
,,,Family and General Practitioners,,291062
,,,Internists General,,291063
,,,Obstetricians and Gynecologists,,291064
,,,Pediatricians General,,291065
,,,Psychiatrists,,291066
,,,Surgeons,,291067
,,,Physicians and Surgeons All Other,,291069
,,Physician Assistants,,,291070
,,,Physician Assistants,,291071
,,Podiatrists,,,291080
,,,Podiatrists,,291081
,,Therapists,,,291120
,,,Occupational Therapists,,291122
,,,Physical Therapists,,291123
,,,Radiation Therapists,,291124
,,,Recreational Therapists,,291125
,,,Respiratory Therapists,,291126
,,,SpeechLanguage Pathologists,,291127
,,,Exercise Physiologists,,291128
,,,Therapists All Other,,291129
,,Veterinarians,,,291130
,,,Veterinarians,,291131
,,Registered Nurses,,,291140
,,,Registered Nurses,,291141
,,Nurse Anesthetists,,,291150
,,,Nurse Anesthetists,,291151
,,Nurse Midwives,,,291160
,,,Nurse Midwives,,291161
,,Nurse Practitioners,,,291170
,,,Nurse Practitioners,,291171
,,Audiologists,,,291180
,,,Audiologists,,291181
,,Miscellaneous Health Diagnosing and Treating Practitioners,,,291190
,,,Health Diagnosing and Treating Practitioners All Other,,291199
,Health Technologists and Technicians,,,,292000
,,Clinical Laboratory Technologists and Technicians,,,292010
,,,Medical and Clinical Laboratory Technologists,,292011
,,,Medical and Clinical Laboratory Technicians,,292012
,,Dental Hygienists,,,292020
,,,Dental Hygienists,,292021
,,Diagnostic Related Technologists and Technicians,,,292030
,,,Cardiovascular Technologists and Technicians,,292031
,,,Diagnostic Medical Sonographers,,292032
,,,Nuclear Medicine Technologists,,292033
,,,Radiologic Technologists ,,292034
,,,Magnetic Resonance Imaging Technologists,,292035 
,,Emergency Medical Technicians and Paramedics,,,292040
,,,Emergency Medical Technicians and Paramedics,,292041
,,Health Practitioner Support Technologists and Technicians,,,292050
,,,Dietetic Technicians,,292051
,,,Pharmacy Technicians,,292052
,,,Psychiatric Technicians,,292053
,,,Respiratory Therapy Technicians,,292054
,,,Surgical Technologists,,292055
,,,Veterinary Technologists and Technicians,,292056
,,,Ophthalmic Medical Technicians,,292057
,,Licensed Practical and Licensed Vocational Nurses,,,292060
,,,Licensed Practical and Licensed Vocational Nurses,,292061
,,Medical Records and Health Information Technicians,,,292070
,,,Medical Records and Health Information Technicians,,292071
,,Opticians Dispensing,,,292080
,,,Opticians Dispensing,,292081
,,Miscellaneous Health Technologists and Technicians,,,292090
,,,Orthotists and Prosthetists,,292091
,,,Hearing Aid Specialists,,292092
,,,Health Technologists and Technicians All Other,,292099
,Other Healthcare Practitioners and Technical Occupations,,,,299000
,,Occupational Health and Safety Specialists and Technicians,,,299010
,,,Occupational Health and Safety Specialists,,299011
,,,Occupational Health and Safety Technicians,,299012
,,Miscellaneous Health Practitioners and Technical Workers,,,299090
,,,Athletic Trainers,,299091
,,,Genetic Counselors,,299092
,,,Healthcare Practitioners and Technical Workers All Other,,299099
Healthcare Support Occupations,,,,,310000
,Nursing Psychiatric and Home Health Aides,,,,311000
,,Nursing Psychiatric and Home Health Aides,,,311010
,,,Home Health Aides,,311011
,,,Psychiatric Aides,,311013
,,,Nursing Assistants,,311014
,,,Orderlies,,311015
,Occupational Therapy and Physical Therapist Assistants and Aides,,,,312000
,,Occupational Therapy Assistants and Aides,,,312010
,,,Occupational Therapy Assistants,,312011
,,,Occupational Therapy Aides,,312012
,,Physical Therapist Assistants and Aides,,,312020
,,,Physical Therapist Assistants,,312021
,,,Physical Therapist Aides,,312022
,Other Healthcare Support Occupations,,,,319000
,,Massage Therapists,,,319010
,,,Massage Therapists,,319011
,,Miscellaneous Healthcare Support Occupations,,,319090
,,,Dental Assistants,,319091
,,,Medical Assistants,,319092
,,,Medical Equipment Preparers,,319093
,,,Medical Transcriptionists,,319094
,,,Pharmacy Aides,,319095
,,,Veterinary Assistants and Laboratory Animal Caretakers,,319096
,,,Phlebotomists,,319097
,,,Healthcare Support Workers All Other,,319099
Protective Service Occupations,,,,,330000
,Supervisors of Protective Service Workers,,,,331000
,,FirstLine Supervisors of Law Enforcement Workers,,,331010
,,,FirstLine Supervisors of Correctional Officers,,331011
,,,FirstLine Supervisors of Police and Detectives,,331012
,,FirstLine Supervisors of Fire Fighting and Prevention Workers,,,331020
,,,FirstLine Supervisors of Fire Fighting and Prevention Workers,,331021
,,Miscellaneous FirstLine Supervisors Protective Service Workers,,,331090
,,,FirstLine Supervisors of Protective Service Workers All Other,,331099
,Fire Fighting and Prevention Workers,,,,332000
,,Firefighters,,,332010
,,,Firefighters,,332011
,,Fire Inspectors,,,332020
,,,Fire Inspectors and Investigators,,332021
,,,Forest Fire Inspectors and Prevention Specialists,,332022
,Law Enforcement Workers,,,,333000
,,Bailiffs Correctional Officers and Jailers,,,333010
,,,Bailiffs,,333011
,,,Correctional Officers and Jailers,,333012
,,Detectives and Criminal Investigators,,,333020
,,,Detectives and Criminal Investigators,,333021
,,Fish and Game Wardens,,,333030
,,,Fish and Game Wardens,,333031
,,Parking Enforcement Workers,,,333040
,,,Parking Enforcement Workers,,333041
,,Police Officers,,,333050
,,,Police and Sheriff's Patrol Officers,,333051
,,,Transit and Railroad Police,,333052
,Other Protective Service Workers,,,,339000
,,Animal Control Workers,,,339010
,,,Animal Control Workers,,339011
,,Private Detectives and Investigators,,,339020
,,,Private Detectives and Investigators,,339021
,,Security Guards and Gaming Surveillance Officers,,,339030
,,,Gaming Surveillance Officers and Gaming Investigators,,339031
,,,Security Guards,,339032
,,Miscellaneous Protective Service Workers,,,339090
,,,Crossing Guards,,339091
,,,Lifeguards Ski Patrol and Other Recreational Protective Service Workers,,339092
,,,Transportation Security Screeners,,339093 
,,,Protective Service Workers All Other,,339099
Food Preparation and Serving Related Occupations,,,,,350000
,Supervisors of Food Preparation and Serving Workers,,,,351000
,,Supervisors of Food Preparation and Serving Workers,,,351010
,,,Chefs and Head Cooks,,351011
,,,FirstLine Supervisors of Food Preparation and Serving Workers,,351012
,Cooks and Food Preparation Workers,,,,352000
,,Cooks,,,352010
,,,Cooks Fast Food,,352011
,,,Cooks Institution and Cafeteria,,352012
,,,Cooks Private Household,,352013
,,,Cooks Restaurant,,352014
,,,Cooks Short Order,,352015
,,,Cooks All Other,,352019
,,Food Preparation Workers,,,352020
,,,Food Preparation Workers,,352021
,Food and Beverage Serving Workers,,,,353000
,,Bartenders,,,353010
,,,Bartenders,,353011
,,Fast Food and Counter Workers,,,353020
,,,Combined Food Preparation and Serving Workers Including Fast Food,,353021
,,,Counter Attendants Cafeteria Food Concession and Coffee Shop,,353022
,,Waiters and Waitresses,,,353030
,,,Waiters and Waitresses,,353031
,,Food Servers Nonrestaurant,,,353040
,,,Food Servers Nonrestaurant,,353041
,Other Food Preparation and Serving Related Workers,,,,359000
,,Dining Room and Cafeteria Attendants and Bartender Helpers,,,359010
,,,Dining Room and Cafeteria Attendants and Bartender Helpers,,359011
,,Dishwashers,,,359020
,,,Dishwashers,,359021
,,Hosts and Hostesses Restaurant Lounge and Coffee Shop,,,359030
,,,Hosts and Hostesses Restaurant Lounge and Coffee Shop,,359031
,,Miscellaneous Food Preparation and Serving Related Workers,,,359090
,,,Food Preparation and Serving Related Workers All Other,,359099
Building and Grounds Cleaning and Maintenance Occupations,,,,,370000
,Supervisors of Building and Grounds Cleaning and Maintenance Workers,,,,371000
,,FirstLine Supervisors of Building and Grounds Cleaning and Maintenance Workers,,,371010
,,,FirstLine Supervisors of Housekeeping and Janitorial Workers,,371011
,,,FirstLine Supervisors of Landscaping Lawn Service and Groundskeeping Workers,,371012
,Building Cleaning and Pest Control Workers,,,,372000
,,Building Cleaning Workers,,,372010
,,,Janitors and Cleaners Except Maids and Housekeeping Cleaners,,372011
,,,Maids and Housekeeping Cleaners,,372012
,,,Building Cleaning Workers All Other,,372019
,,Pest Control Workers,,,372020
,,,Pest Control Workers,,372021
,Grounds Maintenance Workers,,,,373000
,,Grounds Maintenance Workers,,,373010
,,,Landscaping and Groundskeeping Workers,,373011
,,,Pesticide Handlers Sprayers and Applicators Vegetation,,373012
,,,Tree Trimmers and Pruners,,373013
